year,age,n
1957,5,17.71576
1958,5,17.73403
1959,5,17.70537
1960,5,19.48494
1961,5,10.81908
1962,5,12.19637
1963,5,5.63652
1964,5,3.540062
1965,5,9.82303
1966,5,12.64995
1967,5,16.37924
1968,5,4.80502
1969,5,1.917221
1970,5,8.57579
1971,5,5.96285
1972,5,6.34941
1973,5,5.45199
1974,5,3.604964
1975,5,3.899699
1976,5,4.72645
1977,5,8.98237
1978,5,12.55768
1979,5,6.06418
1980,5,3.40929
1981,5,3.52925
1982,5,4.139734
1983,5,5.27879
1984,5,7.53753
1985,5,6.08555
1986,5,4.99125
1987,5,5.72049
1988,5,7.25101
1989,5,3.020994
1990,5,4.76655
1991,5,4.040172
1992,5,8.32345
1993,5,8.57739
1994,5,3.695862
1995,5,9.40131
1996,5,5.91714
1997,5,7.37457
1998,5,7.94682
1999,5,10.4614
2000,5,6.1014
2001,5,5.44605
2002,5,3.59259
2003,5,12.30688
2004,5,3.139014
2005,5,11.69219
2006,5,11.40515
2007,5,9.6427
2008,5,6.4392
2009,5,6.51333
2010,5,10.30867
2011,5,13.14885
2012,5,9.22631
2013,5,9.06085
2014,5,11.69301
2015,5,15.07777
2016,5,5.49822
2017,5,8.15845
2018,5,10.50279
2019,5,9.84889
2020,5,5.34723
2021,5,5.99458
2022,5,14.0225
1954,6,12.49894
1955,6,12.32563
1956,6,12.35531
1957,6,12.36459
1958,6,12.36173
1959,6,12.31294
1960,6,12.27124
1961,6,13.51449
1962,6,7.41002
1963,6,8.3279
1964,6,3.888513
1965,6,2.431805
1966,6,6.72993
1967,6,8.49423
1968,6,11.02699
1969,6,3.248702
1970,6,1.273101
1971,6,5.61175
1972,6,3.880364
1973,6,4.13925
1974,6,3.401133
1975,6,2.2336
1976,6,2.590952
1977,6,3.177545
1978,6,5.95016
1979,6,8.24147
1980,6,4.00948
1981,6,2.175615
1982,6,2.216638
1983,6,2.618923
1984,6,3.45095
1985,6,4.98435
1986,6,4.02304
1987,6,3.23488
1988,6,3.814511
1989,6,4.68334
1990,6,1.88572
1991,6,3.112553
1992,6,2.666064
1993,6,5.42951
1994,6,5.52405
1995,6,2.340156
1996,6,6.20523
1997,6,3.855043
1998,6,4.84058
1999,6,5.09506
2000,6,6.90115
2001,6,3.93865
2002,6,3.411188
2003,6,2.068001
2004,6,7.41597
2005,6,1.886431
2006,6,6.90489
2007,6,6.96025
2008,6,6.06698
2009,6,3.87464
2010,6,3.49243
2011,6,5.63799
2012,6,8.21579
2013,6,5.55878
2014,6,5.3949
2015,6,7.29424
2016,6,9.3926
2017,6,3.368987
2018,6,4.52543
2019,6,6.2099
2020,6,6.02276
2021,6,3.162904
2022,6,3.644675
1954,7,8.93767
1955,7,8.80433
1956,7,8.66235
1957,7,8.73304
1958,7,8.7139
1959,7,8.63725
1960,7,8.5436
1961,7,8.46238
1962,7,9.25369
1963,7,4.92831
1964,7,5.58608
1965,7,2.582286
1966,7,1.567607
1967,7,4.17526
1968,7,5.40873
1969,7,7.15818
1970,7,2.061547
1971,7,0.78215
1972,7,3.35201
1973,7,2.293491
1974,7,2.376651
1975,7,1.942946
1976,7,1.40943
1977,7,1.65947
1978,7,1.91308
1979,7,3.63049
1980,7,5.30994
1981,7,2.46276
1982,7,1.268075
1983,7,1.270009
1984,7,1.598853
1985,7,2.190648
1986,7,3.210896
1987,7,2.502242
1988,7,2.079874
1989,7,2.288554
1990,7,2.908593
1991,7,1.205033
1992,7,1.882318
1993,7,1.648512
1994,7,3.43157
1995,7,3.38345
1996,7,1.461278
1997,7,3.77334
1998,7,2.370921
1999,7,2.691666
2000,7,3.178426
2001,7,4.19064
2002,7,2.116141
2003,7,1.484588
2004,7,0.93034
2005,7,3.78295
2006,7,0.896472
2007,7,3.45393
2008,7,3.65792
2009,7,3.18026
2010,7,1.639309
2011,7,1.258098
2012,7,2.706884
2013,7,3.82905
2014,7,2.46054
2015,7,2.41368
2016,7,3.4262
2017,7,4.70053
2018,7,1.467802
2019,7,1.946458
2020,7,2.76611
2021,7,2.796813
2022,7,1.398631
1954,8,6.45917
1955,8,6.4209
1956,8,6.28399
1957,8,6.20881
1958,8,6.22863
1959,8,6.17218
1960,8,6.05601
1961,8,5.95454
1962,8,5.89595
1963,8,6.30923
1964,8,3.335884
1965,8,3.72932
1966,8,1.686027
1967,8,0.986491
1968,8,2.587013
1969,8,3.44357
1970,8,4.62912
1971,8,1.278032
1972,8,0.452817
1973,8,1.850975
1974,8,1.273946
1975,8,1.357013
1976,8,1.205032
1977,8,0.893852
1978,8,0.969865
1979,8,1.091512
1980,8,2.304732
1981,8,3.28988
1982,8,1.463791
1983,8,0.727878
1984,8,0.767804
1985,8,1.004578
1986,8,1.397842
1987,8,1.980234
1988,8,1.581023
1989,8,1.232049
1990,8,1.399145
1991,8,1.875198
1992,8,0.718539
1993,8,1.107465
1994,8,1.030204
1995,8,2.122422
1996,8,2.137225
1997,8,0.895604
1998,8,2.29903
1999,8,1.279385
2000,8,1.659925
2001,8,1.886892
2002,8,2.248286
2003,8,0.94081
2004,8,0.651236
2005,8,0.463107
2006,8,1.77547
2007,8,0.439214
2008,8,1.807476
2009,8,1.980562
2010,8,1.48865
2011,8,0.61269
2012,8,0.554417
2013,8,1.229052
2014,8,1.663229
2015,8,0.983864
2016,8,0.900415
2017,8,1.562314
2018,8,2.107895
2019,8,0.555404
2020,8,0.766191
2021,8,1.196648
2022,8,1.11726
1954,9,4.70145
1955,9,4.68956
1956,9,4.6328
1957,9,4.54602
1958,9,4.46764
1959,9,4.46056
1960,9,4.37573
1961,9,4.2761
1962,9,4.20694
1963,9,4.11875
1964,9,4.35897
1965,9,2.285791
1966,9,2.518469
1967,9,1.09841
1968,9,0.625938
1969,9,1.68002
1970,9,2.291377
1971,9,2.96135
1972,9,0.767835
1973,9,0.2623735
1974,9,1.062749
1975,9,0.753009
1976,9,0.862648
1977,9,0.782647
1978,9,0.532303
1979,9,0.567584
1980,9,0.700709
1981,9,1.467875
1982,9,2.04064
1983,9,0.880643
1984,9,0.454936
1985,9,0.489894
1986,9,0.65193
1987,9,0.884028
1988,9,1.28055
1989,9,0.971585
1990,9,0.774638
1991,9,0.925838
1992,9,1.165223
1993,9,0.429444
1994,9,0.703465
1995,9,0.657174
1996,9,1.380162
1997,9,1.361892
1998,9,0.564069
1999,9,1.320844
2000,9,0.808925
2001,9,1.022807
2002,9,1.08267
2003,9,1.122865
2004,9,0.461144
2005,9,0.346187
2006,9,0.237114
2007,9,0.937066
2008,9,0.244195
2009,9,1.046952
2010,9,1.050454
2011,9,0.651646
2012,9,0.295654
2013,9,0.2792
2014,9,0.595514
2015,9,0.747742
2016,9,0.405412
2017,9,0.438747
2018,9,0.783019
2019,9,0.908242
2020,9,0.2458856
2021,9,0.360287
2022,9,0.541913
1954,10,3.43885
1955,10,3.43388
1956,10,3.40586
1957,10,3.37109
1958,10,3.29021
1959,10,3.22123
1960,10,3.18574
1961,10,3.11577
1962,10,3.04658
1963,10,2.977029
1964,10,2.882321
1965,10,3.044345
1966,10,1.576003
1967,10,1.673791
1968,10,0.714492
1969,10,0.415139
1970,10,1.138633
1971,10,1.498349
1972,10,1.845512
1973,10,0.468823
1974,10,0.1559819
1975,10,0.644915
1976,10,0.490016
1977,10,0.572361
1978,10,0.47572
1979,10,0.323742
1980,10,0.369843
1981,10,0.455168
1982,10,0.936637
1983,10,1.27298
1984,10,0.566098
1985,10,0.294531
1986,10,0.323324
1987,10,0.421738
1988,10,0.584569
1989,10,0.811253
1990,10,0.628821
1991,10,0.522645
1992,10,0.593671
1993,10,0.713562
1994,10,0.2776123
1995,10,0.459314
1996,10,0.435441
1997,10,0.902718
1998,10,0.880735
1999,10,0.340847
2000,10,0.853168
2001,10,0.516101
2002,10,0.616315
2003,10,0.580117
2004,10,0.592964
2005,10,0.258253
2006,10,0.1892943
2007,10,0.132366
2008,10,0.539721
2009,10,0.1475984
2010,10,0.593685
2011,10,0.509959
2012,10,0.341777
2013,10,0.1611228
2014,10,0.1473593
2015,10,0.297842
2016,10,0.351545
2017,10,0.2116992
2018,10,0.2365311
2019,10,0.381498
2020,10,0.448978
