year,age,f
1977,4,0.0318503125
1978,4,0.03756438425
1979,4,0.043138571
1980,4,0.05304581475
1981,4,0.0449517725
1982,4,0.04113523
1983,4,0.046463559
1984,4,0.0406964525
1985,4,0.04532846775
1986,4,0.0375156865
1987,4,0.04591833275
1988,4,0.038865263
1989,4,0.0458573985
1990,4,0.06061817475
1991,4,0.05769212
1992,4,0.0732509625
1993,4,0.0773633625
1994,4,0.0842451775
1995,4,0.0826635125
1996,4,0.0764364325
1997,4,0.0964113975
1998,4,0.1157385375
1999,4,0.0891195825
2000,4,0.1221958625
2001,4,0.1249762025
2002,4,0.1225658025
2003,4,0.1135762425
2004,4,0.10767029
2005,4,0.120622085
2006,4,0.10351059
2007,4,0.10970756
2008,4,0.1317600525
2009,4,0.10811734
2010,4,0.12375184
2011,4,0.124902915
2012,4,0.17126711
2013,4,0.130978645
2014,4,0.18471721
2015,4,0.1687942025
2016,4,0.1503783
2017,4,0.147607305
2018,4,0.153314715
2019,4,0.157389185
2020,4,0.10990467
2021,4,0.1084317975
1952,5,0.002913221525
1953,5,0.003631722825
1954,5,0.004050989025
1955,5,0.003901527225
1956,5,0.003339842075
1957,5,0.005352700475
1958,5,0.00749116275
1959,5,0.00749983875
1960,5,0.00830367625
1961,5,0.0101989725
1962,5,0.01290245375
1963,5,0.0111601545
1964,5,0.0099397615
1965,5,0.01016875475
1966,5,0.013012972
1967,5,0.009609139
1968,5,0.011985691
1969,5,0.01242835825
1970,5,0.0156868205
1971,5,0.012819512
1972,5,0.01349935575
1973,5,0.018474497
1974,5,0.01981859075
1975,5,0.02036844125
1976,5,0.02404812125
1977,5,0.0296953255
1978,5,0.03275631325
1979,5,0.04006333
1980,5,0.04248316625
1981,5,0.04075023325
1982,5,0.035290338
1983,5,0.04180262575
1984,5,0.03717377575
1985,5,0.0413556795
1986,5,0.036716411
1987,5,0.036436951
1988,5,0.044543104
1989,5,0.034737698
1990,5,0.04775538
1991,5,0.04403454025
1992,5,0.05397528
1993,5,0.0597003525
1994,5,0.0644117525
1995,5,0.06949869
1996,5,0.0633287875
1997,5,0.0772217
1998,5,0.0909998575
1999,5,0.066164835
2000,5,0.1043618975
2001,5,0.1115677775
2002,5,0.0943411875
2003,5,0.1196498175
2004,5,0.1011120525
2005,5,0.091424875
2006,5,0.09040807
2007,5,0.098414855
2008,5,0.10177559
2009,5,0.0956918125
2010,5,0.1003591075
2011,5,0.105665615
2012,5,0.155290885
2013,5,0.10903664
2014,5,0.151178865
2015,5,0.156848865
2016,5,0.133168895
2017,5,0.12171922
2018,5,0.1237353825
2019,5,0.14128686
2020,5,0.1020851075
2021,5,0.114018945
1952,6,0.002494276825
1953,6,0.00295256425
1954,6,0.003587863975
1955,6,0.003449233325
1956,6,0.002776413975
1957,6,0.004573430675
1958,6,0.00607182575
1959,6,0.0068846935
1960,6,0.006723601
1961,6,0.008348509
1962,6,0.0110445195
1963,6,0.0090988025
1964,6,0.00850677725
1965,6,0.0086313045
1966,6,0.0107603335
1967,6,0.00821931975
1968,6,0.01032741525
1969,6,0.01016396675
1970,6,0.014401001
1971,6,0.011785375
1972,6,0.01135892775
1973,6,0.01787074275
1974,6,0.01746778775
1975,6,0.017880182
1976,6,0.021513724
1977,6,0.0244514875
1978,6,0.029599089
1979,6,0.0340964885
1980,6,0.03593484975
1981,6,0.0305270565
1982,6,0.0292936925
1983,6,0.034488509
1984,6,0.03307075275
1985,6,0.035650812
1986,6,0.0319844295
1987,6,0.03275379525
1988,6,0.033307215
1989,6,0.036984268
1990,6,0.03668759525
1991,6,0.0373441965
1992,6,0.04343397425
1993,6,0.047521485
1994,6,0.05799658625
1995,6,0.05525398
1996,6,0.063623025
1997,6,0.0607568675
1998,6,0.0770421125
1999,6,0.05470776775
2000,6,0.0749150525
2001,6,0.08664804
2002,6,0.0791679825
2003,6,0.081177695
2004,6,0.10662294
2005,6,0.0777058375
2006,6,0.067558605
2007,6,0.0804769025
2008,6,0.0886594
2009,6,0.0701853975
2010,6,0.082738345
2011,6,0.08230568
2012,6,0.1279070525
2013,6,0.10857792
2014,6,0.11958887
2015,6,0.1103014575
2016,6,0.111089995
2017,6,0.105385965
2018,6,0.1115007525
2019,6,0.107344445
2020,6,0.086150835
2021,6,0.1026172575
1952,7,0.00235523395
1953,7,0.00273406495
1954,7,0.003441172225
1955,7,0.00331948075
1956,7,0.00260257905
1957,7,0.0041993265
1958,7,0.005681070475
1959,7,0.00625793825
1960,7,0.00647208425
1961,7,0.0075001155
1962,7,0.010287191
1963,7,0.00836910675
1964,7,0.0077403125
1965,7,0.0082624105
1966,7,0.0100899545
1967,7,0.007363224
1968,7,0.00945370225
1969,7,0.0093781295
1970,7,0.01306222875
1971,7,0.011316225
