year,age,n
1981,4,6.55091464175
1982,4,4.04691021745
1983,4,7.412470121975
1984,4,6.38583995275
1985,4,8.50958051475
1986,4,6.3069087275
1987,4,5.2318853875
1988,4,7.83579999025
1989,4,4.94771745775
1990,4,5.761277474
1991,4,10.488697019
1992,4,5.5180191935
1993,4,6.4132018465
1994,4,4.518864274
1995,4,6.30605515075
1996,4,4.89943034725
1997,4,5.67423421725
1998,4,8.4628939135
1999,4,5.87569861425
2000,4,4.6013350635
2001,4,5.52102549275
2002,4,3.70315853925
2003,4,7.726153018
2004,4,5.7951360815
2005,4,6.53554888375
2006,4,4.13227212175
2007,4,7.24779398475
2008,4,4.51275283975
2009,4,5.063083915
2010,4,4.31298766925
2011,4,3.8331046285
2012,4,6.091376269
2013,4,3.81032638875
2014,4,3.81597436
2015,4,6.667753175
2016,4,5.60682229775
2017,4,4.16859690875
2018,4,4.682183555
2019,4,5.05600233
2020,4,5.04047571775
2021,4,4.3790624025
1952,5,10.1732179125
1953,5,10.0479208375
1954,5,9.963528525
1955,5,9.91983006
1956,5,9.87790874
1957,5,9.4540960355
1958,5,12.64309816275
1959,5,13.535621491
1960,5,7.5438662185
1961,5,6.38879632525
1962,5,8.271451924075
1963,5,8.110998490525
1964,5,5.305006566625
1965,5,6.34649954945
1966,5,5.7263447204
1967,5,5.61078098195
1968,5,5.981903572025
1969,5,5.2290928775
1970,5,5.135638742
1971,5,6.494216649175
1972,5,4.129980287525
1973,5,5.309376100525
1974,5,5.725502872325
1975,5,2.84325189745
1976,5,4.69050561125
1977,5,5.6449528535
1978,5,4.17738256975
1979,5,7.7720779714
1980,5,4.038999731
1981,5,5.22469448975
1982,5,4.36467080265
1983,5,2.667672644075
1984,5,4.909678214525
1985,5,4.199395593
1986,5,5.5955507315
1987,5,4.15828674025
1988,5,3.42435972025
1989,5,5.12610995225
1990,5,3.22550218825
1991,5,3.74955379325
1992,5,6.87935067925
1993,5,3.59786313125
1994,5,4.13550164425
1995,5,2.85879477775
1996,5,4.04187163
1997,5,3.17616284725
1998,5,3.549026091
1999,5,5.39096658075
2000,5,3.6492931375
2001,5,2.9330331445
2002,5,3.42122783025
2003,5,2.30566824425
2004,5,4.836609583
2005,5,3.54021783775
2006,5,4.1017687095
2007,5,2.5854969395
2008,5,4.4855598205
2009,5,2.809425366
2010,5,3.12731398175
2011,5,2.68904317625
2012,5,2.349871935
2013,5,3.74924754825
2014,5,2.362821092
2015,5,2.3193109175
2016,5,4.16258922175
2017,5,3.5556022665
2018,5,2.64578305375
2019,5,2.90632956225
2020,5,3.1560407135
2021,5,3.20621333525
1952,6,7.2103489875
1953,6,7.135820565
1954,6,7.066233765
1955,6,7.0084165625
1956,6,6.962684955
1957,6,6.92998184
1958,6,6.589626663
1959,6,8.7874795547
1960,6,9.4223772205
1961,6,5.2504249605
1962,6,4.441485726525
1963,6,5.723002727475
1964,6,5.624626266
1965,6,3.688110696125
1966,6,4.41412281425
1967,6,3.96122924835
1968,6,3.8931581826
1969,6,4.148052120525
1970,6,3.6313652722
1971,6,3.55609314525
1972,6,4.505401132625
1973,6,2.8396161473
1974,6,3.664399190125
1975,6,3.935413618875
1976,6,1.937012979475
1977,6,3.1956575335
1978,6,3.86148821415
1979,6,2.87173841405
1980,6,5.27207159015
1981,6,2.7610525105
1982,6,3.56710742465
1983,6,2.98780135085
1984,6,1.823454882825
1985,6,3.3437640277
1986,6,2.858487019425
1987,6,3.805610321
1988,6,2.8118708685
1989,6,2.322479541
1990,6,3.44958152175
1991,6,2.17961623225
1992,6,2.530533119
1993,6,4.6284323285
1994,6,2.41067751225
1995,6,2.72044389125
