year,age,f
1978,4,0.041007033
1979,4,0.05470628
1980,4,0.05285041825
1981,4,0.04406736275
1982,4,0.052315687
1983,4,0.04576952875
1984,4,0.04834766075
1985,4,0.0570671225
1986,4,0.041997829
1987,4,0.0575985925
1988,4,0.0566369875
1989,4,0.0551746965
1990,4,0.0627523575
1991,4,0.04852059175
1992,4,0.0642668475
1993,4,0.0701945625
1994,4,0.0983007325
1995,4,0.0808774475
1996,4,0.0683580525
1997,4,0.0853871375
1998,4,0.102021295
1999,4,0.102912295
2000,4,0.094421375
2001,4,0.10823931
2002,4,0.1084597975
2003,4,0.1031890025
2004,4,0.1538756175
2005,4,0.0970329425
2006,4,0.11660736
2007,4,0.11232387
2008,4,0.114150845
2009,4,0.122945895
2010,4,0.106123725
2011,4,0.1229192075
2012,4,0.13112461
2013,4,0.1093252025
2014,4,0.1326020075
2015,4,0.118116915
2016,4,0.09574744
2017,4,0.08795275
2018,4,0.108489295
2019,4,0.1112917075
2020,4,0.09038442
2021,4,0.082756195
1952,5,0.009886307375
1953,5,0.00967522175
1954,5,0.006385896325
1955,5,0.0097676044
1956,5,0.0101093438
1957,5,0.0141472485
1958,5,0.02118776825
1959,5,0.01905259325
1960,5,0.01943196175
1961,5,0.02175116475
1962,5,0.020996306
1963,5,0.0282614415
1964,5,0.02236214
1965,5,0.02125110875
1966,5,0.024051627
1967,5,0.025170746
1968,5,0.022819247
1969,5,0.026423794
1970,5,0.021503497
1971,5,0.02362583325
1972,5,0.034694436
1973,5,0.027595405
1974,5,0.0314355635
1975,5,0.03984482625
1976,5,0.0408514475
1977,5,0.04326091925
1978,5,0.03428007775
1979,5,0.04555574775
1980,5,0.0457757665
1981,5,0.0371241685
1982,5,0.044072228
1983,5,0.03791756325
1984,5,0.04139022875
1985,5,0.04769165825
1986,5,0.036809438
1987,5,0.0520054835
1988,5,0.04755609975
1989,5,0.050719487
1990,5,0.05778290425
1991,5,0.04236369775
1992,5,0.058191479
1993,5,0.05464628675
1994,5,0.08570375
1995,5,0.0705693675
1996,5,0.0615915975
1997,5,0.07491420225
1998,5,0.094761275
1999,5,0.0762498225
2000,5,0.100872575
2001,5,0.0921207875
2002,5,0.12068433
2003,5,0.0918874575
2004,5,0.126400045
2005,5,0.0926037
2006,5,0.096538375
2007,5,0.0950179125
2008,5,0.1034767175
2009,5,0.1112119125
2010,5,0.0949946625
2011,5,0.1019812025
2012,5,0.121792955
2013,5,0.10183219
2014,5,0.1263849375
2015,5,0.107337605
2016,5,0.08310745
2017,5,0.0733192425
2018,5,0.0985882175
2019,5,0.101325255
2020,5,0.0819856325
2021,5,0.076078605
1952,6,0.0083000002
1953,6,0.008040548175
1954,6,0.005320246475
1955,6,0.00813580255
1956,6,0.008438253975
1957,6,0.01081054025
1958,6,0.017071163
1959,6,0.0160537965
1960,6,0.01600034675
1961,6,0.018284677
1962,6,0.0174037895
1963,6,0.02269376375
1964,6,0.017241825
1965,6,0.018399827
1966,6,0.01933400325
1967,6,0.02073431675
1968,6,0.01789598475
1969,6,0.0229302125
