sex,year,age,n
1,1996,4,40.5707
1,1997,4,43.0732
1,1998,4,45.1448
1,1999,4,37.7972
1,2000,4,34.6911
1,2001,4,36.3701
1,2002,4,35.8577
1,2003,4,32.8412
1,2004,4,27.5598
1,2005,4,23.3185
1,2006,4,21.7546
1,2007,4,19.8515
1,2008,4,19.6671
1,2009,4,16.2952
1,2010,4,15.5353
1,2011,4,14.2921
1,2012,4,14.8175
1,2013,4,12.7543
1,2014,4,11.6773
1,2015,4,10.1591
1,2016,4,10.1277
1,2017,4,9.2049
1,2018,4,9.44574
1,2019,4,9.3849
1,2020,4,9.31163
1,2021,4,9.41529
1,2022,4,10.1897
1,2023,4,10.9212
2,1995,4,40.9627
2,1996,4,40.5903
2,1997,4,43.0908
2,1998,4,45.1616
2,1999,4,37.8125
2,2000,4,34.7101
2,2001,4,36.3914
2,2002,4,35.8778
2,2003,4,32.8613
2,2004,4,27.5776
2,2005,4,23.3371
2,2006,4,21.7713
2,2007,4,19.8658
2,2008,4,19.6792
2,2009,4,16.3056
2,2010,4,15.5459
2,2011,4,14.3024
2,2012,4,14.8267
2,2013,4,12.7627
2,2014,4,11.6848
2,2015,4,10.1657
2,2016,4,10.1337
2,2017,4,9.20977
2,2018,4,9.44948
2,2019,4,9.38783
2,2020,4,9.3147
2,2021,4,9.41832
2,2022,4,10.1932
2,2023,4,10.9247
1,1995,5,31.006
1,1996,5,30.1575
1,1997,5,31.999
1,1998,5,33.1516
1,1999,5,33.4408
1,2000,5,25.7339
1,2001,5,25.3585
1,2002,5,26.3073
1,2003,5,24.9984
1,2004,5,23.0692
1,2005,5,17.4209
1,2006,5,16.3583
1,2007,5,15.1849
1,2008,5,14.5954
1,2009,5,13.564
1,2010,5,11.3863
1,2011,5,10.6261
1,2012,5,10.5431
1,2013,5,10.1381
1,2014,5,9.12747
1,2015,5,8.21914
1,2016,5,7.43371
1,2017,5,7.535
1,2018,5,7.29622
1,2019,5,7.46083
1,2020,5,7.19393
1,2021,5,7.34354
1,2022,5,7.27956
1,2023,5,7.96579
2,1995,5,31.0199
2,1996,5,30.1724
2,1997,5,32.0156
2,1998,5,33.1669
2,1999,5,33.455
2,2000,5,25.7461
2,2001,5,25.3742
2,2002,5,26.3242
2,2003,5,25.0148
2,2004,5,23.0854
2,2005,5,17.4345
2,2006,5,16.3729
2,2007,5,15.1981
2,2008,5,14.607
2,2009,5,13.5737
2,2010,5,11.3948
2,2011,5,10.6346
2,2012,5,10.5515
2,2013,5,10.1456
2,2014,5,9.13433
2,2015,5,8.22527
2,2016,5,7.43914
2,2017,5,7.54002
2,2018,5,7.30037
2,2019,5,7.46403
2,2020,5,7.19652
2,2021,5,7.34621
2,2022,5,7.28227
2,2023,5,7.96874
1,1995,6,23.0712
1,1996,6,21.7186
1,1997,6,23.0966
1,1998,6,23.7402
1,1999,6,23.4437
1,2000,6,21.2425
1,2001,6,17.8747
1,2002,6,17.394
1,2003,6,17.1852
1,2004,6,16.4939
1,2005,6,13.2928
1,2006,6,11.4745
1,2007,6,10.6978
1,2008,6,10.6192
1,2009,6,9.40226
1,2010,6,8.87904
1,2011,6,7.25285
1,2012,6,7.46495
1,2013,6,6.7191
1,2014,6,6.84671
1,2015,6,6.03475
1,2016,6,5.71188
1,2017,6,5.27948
1,2018,6,5.80768
1,2019,6,5.60125
1,2020,6,5.5103
1,2021,6,5.51084
1,2022,6,5.48067
1,2023,6,5.51758
2,1995,6,23.0742
2,1996,6,21.7203
2,1997,6,23.103
2,1998,6,23.7462
2,1999,6,23.4462
2,2000,6,21.24
2,2001,6,17.8763
2,2002,6,17.3975
2,2003,6,17.188
2,2004,6,16.4969
2,2005,6,13.2929
2,2006,6,11.478
2,2007,6,10.7022
2,2008,6,10.6245
2,2009,6,9.40495
2,2010,6,8.88113
2,2011,6,7.25447
2,2012,6,7.46823
2,2013,6,6.72096
2,2014,6,6.84888
2,2015,6,6.03654
2,2016,6,5.71402
2,2017,6,5.28156
2,2018,6,5.81042
2,2019,6,5.60327
2,2020,6,5.51118
2,2021,6,5.51165
2,2022,6,5.48125
2,2023,6,5.51837
1,1995,7,16.2071
1,1996,7,15.5547
1,1997,7,16.2654
1,1998,7,16.6608
1,1999,7,16.2075
1,2000,7,14.1308
1,2001,7,14.1938
1,2002,7,11.7775
1,2003,7,10.8143
1,2004,7,10.8118
1,2005,7,8.85851
1,2006,7,8.34553
1,2007,7,7.14074
1,2008,7,7.20154
1,2009,7,6.49492
1,2010,7,5.85631
1,2011,7,5.35701
1,2012,7,4.90858
1,2013,7,4.50657
1,2014,7,4.34118
1,2015,7,4.31563
1,2016,7,4.03159
1,2017,7,3.91497
1,2018,7,3.98236
1,2019,7,4.36244
1,2020,7,4.02068
1,2021,7,4.12825
1,2022,7,4.00342
1,2023,7,4.05708
2,1995,7,16.1956
2,1996,7,15.5407
2,1997,7,16.257
2,1998,7,16.6532
2,1999,7,16.1962
2,2000,7,14.1121
2,2001,7,14.1773
2,2002,7,11.7657
2,2003,7,10.8021
2,2004,7,10.7997
2,2005,7,8.84332
2,2006,7,8.33485
2,2007,7,7.13343
2,2008,7,7.1971
2,2009,7,6.48908
2,2010,7,5.85017
2,2011,7,5.35049
2,2012,7,4.90484
2,2013,7,4.50204
2,2014,7,4.3373
2,2015,7,4.31155
2,2016,7,4.02862
2,2017,7,3.91279
2,2018,7,3.98178
2,2019,7,4.36205
2,2020,7,4.01919
2,2021,7,4.12655
2,2022,7,4.00117
2,2023,7,4.05505
1,1995,8,11.1752
1,1996,8,10.6779
1,1997,8,11.4916
1,1998,8,11.5326
1,1999,8,11.1343
1,2000,8,9.46524
1,2001,8,9.22349
1,2002,8,9.12839
1,2003,8,7.10686
1,2004,8,6.61113
1,2005,8,5.56563
1,2006,8,5.40246
1,2007,8,5.04017
1,2008,8,4.69746
1,2009,8,4.26875
1,2010,8,3.92579
1,2011,8,3.41908
1,2012,8,3.54387
1,2013,8,2.86746
1,2014,8,2.83411
1,2015,8,2.65786
1,2016,8,2.81433
1,2017,8,2.7038
1,2018,8,2.91343
1,2019,8,2.95126
1,2020,8,3.07669
1,2021,8,2.97114
1,2022,8,2.94997
1,2023,8,2.92041
2,1995,8,11.1509
2,1996,8,10.651
2,1997,8,11.4692
2,1998,8,11.5118
2,1999,8,11.1108
2,2000,8,9.43515
2,2001,8,9.19439
2,2002,8,9.10036
2,2003,8,7.08309
2,2004,8,6.58877
2,2005,8,5.54079
2,2006,8,5.38099
2,2007,8,5.02189
2,2008,8,4.68419
2,2009,8,4.25563
2,2010,8,3.91301
2,2011,8,3.40674
2,2012,8,3.53341
2,2013,8,2.85798
2,2014,8,2.82542
2,2015,8,2.64957
2,2016,8,2.80653
2,2017,8,2.69737
2,2018,8,2.90904
2,2019,8,2.94793
2,2020,8,3.07246
2,2021,8,2.96705
2,2022,8,2.94506
2,2023,8,2.91568
1,1995,9,7.65595
1,1996,9,7.30478
1,1997,9,7.85016
1,1998,9,8.09596
1,1999,9,7.64922
1,2000,9,6.43202
1,2001,9,6.12831
1,2002,9,5.88257
1,2003,9,5.45173
1,2004,9,4.30194
1,2005,9,3.3539
1,2006,9,3.35998
1,2007,9,3.22906
1,2008,9,3.28912
1,2009,9,2.75447
1,2010,9,2.55362
1,2011,9,2.26586
1,2012,9,2.24325
1,2013,9,2.04635
1,2014,9,1.78584
1,2015,9,1.71714
1,2016,9,1.71801
