age,year,area,f
7,1985,1,0.4100081
8,1985,1,0.37980589
9,1985,1,0.36758986
10,1985,1,0.3609905
11,1985,1,0.35959733
12,1985,1,0.36005518
13,1985,1,0.36042425
14,1985,1,0.36100714
15,1985,1,0.36110176
16,1985,1,0.36232066
1,1986,1,0.160245109
2,1986,1,1.11789288
3,1986,1,0.97062533
4,1986,1,0.68457366
5,1986,1,0.39786387
6,1986,1,0.29510427
7,1986,1,0.2534552
8,1986,1,0.23475501
9,1986,1,0.22718643
10,1986,1,0.22309509
11,1986,1,0.22222501
12,1986,1,0.22250037
13,1986,1,0.22272357
14,1986,1,0.22308016
15,1986,1,0.22313532
16,1986,1,0.2238843
1,1987,1,0.102743262
2,1987,1,0.72431364
3,1987,1,0.62608352
4,1987,1,0.44116337
5,1987,1,0.25603489
6,1987,1,0.18975124
7,1987,1,0.16289265
8,1987,1,0.15083087
9,1987,1,0.14594212
10,1987,1,0.14329557
11,1987,1,0.14272361
12,1987,1,0.14288949
13,1987,1,0.14302589
14,1987,1,0.14324957
15,1987,1,0.14328021
16,1987,1,0.14375505
1,1988,1,0.123065038
2,1988,1,0.81761132
3,1988,1,0.72511067
4,1988,1,0.51362176
5,1988,1,0.30047062
6,1988,1,0.22370568
7,1988,1,0.19255732
8,1988,1,0.178585
9,1988,1,0.17296764
10,1988,1,0.16995165
11,1988,1,0.16935975
12,1988,1,0.16962901
13,1988,1,0.16983684
14,1988,1,0.17013727
15,1988,1,0.17020524
16,1988,1,0.17080951
1,1989,1,0.115104937
2,1989,1,0.79959961
3,1989,1,0.6955229
4,1989,1,0.49072923
5,1989,1,0.28536694
6,1989,1,0.21173238
7,1989,1,0.181885
8,1989,1,0.16848476
9,1989,1,0.1630644
10,1989,1,0.160136
11,1989,1,0.15951733
12,1989,1,0.15971991
13,1989,1,0.15988328
14,1989,1,0.16014159
15,1989,1,0.16018334
16,1989,1,0.16072374
1,1990,1,0.11683762
2,1990,1,0.8127961
3,1990,1,0.70656868
4,1990,1,0.49845974
5,1990,1,0.28980664
6,1990,1,0.21500267
7,1990,1,0.18468221
8,1990,1,0.17106924
9,1990,1,0.16556174
10,1990,1,0.16258567
11,1990,1,0.16195554
12,1990,1,0.16215954
13,1990,1,0.16232432
14,1990,1,0.16258578
15,1990,1,0.16262742
16,1990,1,0.16317513
1,1991,1,0.16372674
2,1991,1,1.15399416
3,1991,1,0.99757875
4,1991,1,0.70294638
5,1991,1,0.40797545
6,1991,1,0.30236158
7,1991,1,0.25956579
8,1991,1,0.24034699
9,1991,1,0.23255762
10,1991,1,0.22834097
11,1991,1,0.22742997
12,1991,1,0.22769465
13,1991,1,0.22791219
14,1991,1,0.2282688
15,1991,1,0.22831776
16,1991,1,0.22907455
1,1992,1,0.13956414
2,1992,1,1.01334279
3,1992,1,0.86507989
4,1992,1,0.60799005
5,1992,1,0.35144998
6,1992,1,0.25986216
7,1992,1,0.22277522
8,1992,1,0.2061107
9,1992,1,0.19932948
10,1992,1,0.19564368
11,1992,1,0.19481177
12,1992,1,0.19499546
13,1992,1,0.19515456
14,1992,1,0.19543923
15,1992,1,0.19546242
16,1992,1,0.19608653
1,1993,1,0.20231724
2,1993,1,1.3118804
3,1993,1,1.17605486
4,1993,1,0.83483117
5,1993,1,0.48996256
6,1993,1,0.36545964
7,1993,1,0.3149125
8,1993,1,0.29224896
9,1993,1,0.28316803
10,1993,1,0.27830921
11,1993,1,0.27739635
12,1993,1,0.27788451
13,1993,1,0.27825491
14,1993,1,0.27876976
15,1993,1,0.27890174
16,1993,1,0.27991802
1,1994,1,0.10455881
2,1994,1,0.70089265
3,1994,1,0.6191643
4,1994,1,0.43823037
5,1994,1,0.25606049
6,1994,1,0.19051144
7,1994,1,0.16391959
8,1994,1,0.15198911
9,1994,1,0.14718674
10,1994,1,0.14460509
11,1994,1,0.14409056
12,1994,1,0.14431052
13,1994,1,0.14448156
14,1994,1,0.14473277
15,1994,1,0.14478663
16,1994,1,0.14529559
1,1995,1,0.14214053
2,1995,1,0.99660965
3,1995,1,0.86345428
4,1995,1,0.60871633
5,1995,1,0.3535361
6,1995,1,0.26212233
7,1995,1,0.22507615
8,1995,1,0.20844096
9,1995,1,0.20170358
10,1995,1,0.19805903
11,1995,1,0.19727785
12,1995,1,0.19751507
13,1995,1,0.19770859
14,1995,1,0.19802162
15,1995,1,0.19806737
16,1995,1,0.19872816
1,1996,1,0.20703889
2,1996,1,1.5739036
3,1996,1,1.31839056
4,1996,1,0.92285814
5,1996,1,0.53013886
6,1996,1,0.39055422
7,1996,1,0.33409094
8,1996,1,0.30869784
9,1996,1,0.2983011
10,1996,1,0.29261562
11,1996,1,0.29124978
12,1996,1,0.2914226
13,1996,1,0.29159569
14,1996,1,0.29197211
15,1996,1,0.29196219
16,1996,1,0.29283783
1,1997,1,0.21975596
2,1997,1,1.5666703
3,1997,1,1.34778206
4,1997,1,0.948765
5,1997,1,0.54979589
6,1997,1,0.40710496
7,1997,1,0.34930035
8,1997,1,0.3233357
9,1997,1,0.31279595
10,1997,1,0.30708155
11,1997,1,0.30582558
12,1997,1,0.30615582
13,1997,1,0.30643204
14,1997,1,0.30689905
15,1997,1,0.30695367
16,1997,1,0.30795697
1,1998,1,0.19053793
2,1998,1,1.39206619
3,1998,1,1.18531482
4,1998,1,0.83260135
5,1998,1,0.48088203
6,1998,1,0.35538982
7,1998,1,0.30458097
8,1998,1,0.28174805
9,1998,1,0.272449
10,1998,1,0.26739042
11,1998,1,0.26623871
12,1998,1,0.26647734
13,1998,1,0.26668687
14,1998,1,0.26706991
15,1998,1,0.26709619
16,1998,1,0.26794199
1,1999,1,0.220137175
2,1999,1,1.56523568
3,1999,1,1.348059
4,1999,1,0.94918122
5,1999,1,0.55023408
6,1999,1,0.40751409
7,1999,1,0.3496941
8,1999,1,0.3237239
9,1999,1,0.31318568
10,1999,1,0.30747421
11,1999,1,0.30622379
12,1999,1,0.30656048
13,1999,1,0.30684085
14,1999,1,0.30731144
15,1999,1,0.3073687
16,1999,1,0.30837665
1,2000,1,0.28743021
2,2000,1,2.2209269
3,2000,1,1.8481289
4,2000,1,1.29186095
5,2000,1,0.74048177
6,2000,1,0.54481242
7,2000,1,0.46569377
8,2000,1,0.4301028
9,2000,1,0.41550089
10,2000,1,0.40749943
11,2000,1,0.40553843
12,2000,1,0.40572921
13,2000,1,0.4059389
14,2000,1,0.40643895
15,2000,1,0.4064035
16,2000,1,0.40759426
1,2001,1,0.22607904
2,2001,1,1.64558346
3,2001,1,1.40336102
4,2001,1,0.98608652
5,2001,1,0.56981794
6,2001,1,0.42124087
7,2001,1,0.36108046
8,2001,1,0.334047
9,2001,1,0.32304266
10,2001,1,0.31705945
11,2001,1,0.3157043
12,2001,1,0.31599617
13,2001,1,0.31625026
14,2001,1,0.31670878
15,2001,1,0.31674379
16,2001,1,0.3177518
1,2002,1,0.15196651
2,2002,1,1.13940261
3,2002,1,0.95983311
4,2002,1,0.67268528
5,2002,1,0.38715416
6,2002,1,0.28553261
7,2002,1,0.24441285
8,2002,1,0.225925
9,2002,1,0.21836936
10,2002,1,0.21424502
11,2002,1,0.21327208
12,2002,1,0.21342128
13,2002,1,0.21356243
14,2002,1,0.21384902
15,2002,1,0.21385169
16,2002,1,0.21450567
1,2003,1,0.26277823
2,2003,1,1.9581291
3,2003,1,1.65371708
4,2003,1,1.15961042
5,2003,1,0.66795719
6,2003,1,0.49287189
7,2003,1,0.42201614
8,2003,1,0.39016229
