sex,year,age,f
2,2022,3,0.079765
1,2023,3,0.053986
2,2023,3,0.053876
1,1995,4,0.173784
2,1995,4,0.1737
1,1996,4,0.105309
2,1996,4,0.105271
1,1997,4,0.129776
2,1997,4,0.129721
1,1998,4,0.168064
2,1998,4,0.168013
1,1999,4,0.252392
2,1999,4,0.252322
1,2000,4,0.181333
2,2000,4,0.181264
1,2001,4,0.191866
2,2001,4,0.191807
1,2002,4,0.228713
2,2002,4,0.228617
1,2003,4,0.221151
2,2003,4,0.221062
1,2004,4,0.326655
2,2004,4,0.326523
1,2005,4,0.222476
2,2005,4,0.222385
1,2006,4,0.227491
2,2006,4,0.227388
1,2007,4,0.175539
2,2007,4,0.175463
1,2008,4,0.239495
2,2008,4,0.239393
1,2009,4,0.226427
2,2009,4,0.226319
1,2010,4,0.247767
2,2010,4,0.247651
1,2011,4,0.172194
2,2011,4,0.172121
1,2012,4,0.247469
2,2012,4,0.247354
1,2013,4,0.20255
2,2013,4,0.202457
1,2014,4,0.219144
2,2014,4,0.219046
1,2015,4,0.18031
2,2015,4,0.180226
1,2016,4,0.16368
2,2016,4,0.163609
1,2017,4,0.100346
2,2017,4,0.100306
1,2018,4,0.103863
2,2018,4,0.103831
1,2019,4,0.13383
2,2019,4,0.133782
1,2020,4,0.10541
2,2020,4,0.105375
1,2021,4,0.125231
2,2021,4,0.12518
1,2022,4,0.11419
2,2022,4,0.114161
1,2023,4,0.078638
2,2023,4,0.078604
1,1995,5,0.223976
2,1995,5,0.224345
1,1996,5,0.134712
2,1996,5,0.134932
1,1997,5,0.166501
2,1997,5,0.166766
1,1998,5,0.214457
2,1998,5,0.214812
1,1999,5,0.32174
2,1999,5,0.32228
1,2000,5,0.232389
2,2000,5,0.232774
1,2001,5,0.244958
2,2001,5,0.245368
1,2002,5,0.293762
2,2002,5,0.294247
1,2003,5,0.28379
2,2003,5,0.284261
1,2004,5,0.41924
2,2004,5,0.419935
1,2005,5,0.285511
2,2005,5,0.28598
1,2006,5,0.292665
2,2006,5,0.293147
1,2007,5,0.225604
2,2007,5,0.225975
1,2008,5,0.307724
2,2008,5,0.308232
1,2009,5,0.291693
2,2009,5,0.292172
1,2010,5,0.318984
2,2010,5,0.319506
1,2011,5,0.221063
2,2011,5,0.221419
1,2012,5,0.318487
2,2012,5,0.319005
1,2013,5,0.260504
2,2013,5,0.260923
1,2014,5,0.28172
2,2014,5,0.282175
1,2015,5,0.231884
2,2015,5,0.232255
1,2016,5,0.210164
2,2016,5,0.2105
1,2017,5,0.128344
2,2017,5,0.128538
1,2018,5,0.132332
2,2018,5,0.13254
1,2019,5,0.171014
2,2019,5,0.171282
1,2020,5,0.134488
2,2020,5,0.134701
1,2021,5,0.160559
2,2021,5,0.160818
1,2022,5,0.145097
2,2022,5,0.145325
1,2023,5,0.101081
2,2023,5,0.101248
1,1995,6,0.262185
2,1995,6,0.263215
1,1996,6,0.157095
2,1996,6,0.15769
1,1997,6,0.194592
2,1997,6,0.195325
1,1998,6,0.249664
2,1998,6,0.25061
1,1999,6,0.37421
2,1999,6,0.375638
1,2000,6,0.271162
2,2000,6,0.272209
1,2001,6,0.285164
2,2001,6,0.286257
1,2002,6,0.343223
2,2002,6,0.344556
1,2003,6,0.331374
2,2003,6,0.332661
1,2004,6,0.489575
2,2004,6,0.491477
1,2005,6,0.333464
2,2005,6,0.334752
1,2006,6,0.342274
2,2006,6,0.343608
1,2007,6,0.26371
2,2007,6,0.264733
1,2008,6,0.359609
2,2008,6,0.361007
1,2009,6,0.341395
2,2009,6,0.342732
1,2010,6,0.373254
2,2010,6,0.374707
1,2011,6,0.258377
2,2011,6,0.259361
1,2012,6,0.37265
2,2012,6,0.374093
1,2013,6,0.304775
2,2013,6,0.305944
1,2014,6,0.32949
2,2014,6,0.330754
1,2015,6,0.271339
2,2015,6,0.272373
1,2016,6,0.245706
2,2016,6,0.246637
1,2017,6,0.14992
2,2017,6,0.150458
1,2018,6,0.154117
2,2018,6,0.154676
1,2019,6,0.199506
2,2019,6,0.200237
1,2020,6,0.156731
2,2020,6,0.157305
1,2021,6,0.187534
