age,year,area,f
7,1971,1,0.2367222
8,1971,1,0.2092584
9,1971,1,0.195625
10,1971,1,0.1894407
11,1971,1,0.1865951
12,1971,1,0.1865951
1,1972,1,1.757859e-10
2,1972,1,0.001460651
3,1972,1,0.0153506
4,1972,1,0.0440176
5,1972,1,0.09882781
6,1972,1,0.2432529
7,1972,1,0.2432437
8,1972,1,0.208367
9,1972,1,0.1899331
10,1972,1,0.1814952
11,1972,1,0.1777133
12,1972,1,0.1777133
1,1973,1,2.604262e-10
2,1973,1,0.002575552
3,1973,1,0.02706048
4,1973,1,0.07714585
5,1973,1,0.152933
6,1973,1,0.2875183
7,1973,1,0.2907063
8,1973,1,0.2720498
9,1973,1,0.2631404
10,1973,1,0.258959
11,1973,1,0.2568478
12,1973,1,0.2568478
1,1974,1,2.630736e-10
2,1974,1,0.003189748
3,1974,1,0.03350456
4,1974,1,0.09491417
5,1974,1,0.1625116
6,1974,1,0.3085189
7,1974,1,0.3040525
8,1974,1,0.2756545
9,1974,1,0.2631398
10,1974,1,0.257878
11,1974,1,0.2554636
12,1974,1,0.2554636
1,1975,1,1.433757e-10
2,1975,1,0.001324511
3,1975,1,0.01391673
4,1975,1,0.03969557
5,1975,1,0.07517011
6,1975,1,0.1675684
7,1975,1,0.1759562
8,1975,1,0.161444
9,1975,1,0.1541797
10,1975,1,0.1508805
11,1975,1,0.1493038
12,1975,1,0.1493038
1,1976,1,1.156979e-10
2,1976,1,0.0009025012
3,1976,1,0.009482533
4,1976,1,0.0270522
5,1976,1,0.05962279
6,1976,1,0.1464414
7,1976,1,0.1466787
8,1976,1,0.1316456
9,1976,1,0.1251532
10,1976,1,0.1224224
11,1976,1,0.1211521
12,1976,1,0.1211521
1,1977,1,2.206517e-10
2,1977,1,0.001437941
3,1977,1,0.01510005
4,1977,1,0.04253695
5,1977,1,0.07732862
6,1977,1,0.229576
7,1977,1,0.2674183
8,1977,1,0.2647795
9,1977,1,0.2635241
10,1977,1,0.2626005
11,1977,1,0.2617481
12,1977,1,0.2617481
1,1978,1,1.908771e-10
2,1978,1,0.001769812
3,1978,1,0.01858644
4,1978,1,0.05243923
5,1978,1,0.08814846
6,1978,1,0.2036302
7,1978,1,0.2221577
8,1978,1,0.2146106
9,1978,1,0.211669
10,1978,1,0.2103424
11,1978,1,0.209504
12,1978,1,0.209504
1,1979,1,1.511537e-10
2,1979,1,0.001558427
3,1979,1,0.01637158
4,1979,1,0.0465148
5,1979,1,0.08050142
6,1979,1,0.1390078
7,1979,1,0.151002
8,1979,1,0.1527639
9,1979,1,0.1546793
10,1979,1,0.1555659
11,1979,1,0.155739
12,1979,1,0.155739
1,1980,1,1.811628e-10
2,1980,1,0.002121874
3,1980,1,0.02230422
4,1980,1,0.06422708
5,1980,1,0.1281562
6,1980,1,0.2075488
7,1980,1,0.1954894
8,1980,1,0.1741645
9,1980,1,0.1649571
10,1980,1,0.1611667
11,1980,1,0.1594812
12,1980,1,0.1594812
1,1981,1,2.046874e-10
2,1981,1,0.002109035
3,1981,1,0.02217051
4,1981,1,0.06394583
5,1981,1,0.1469375
6,1981,1,0.271514
7,1981,1,0.2449554
8,1981,1,0.2070537
9,1981,1,0.1895688
10,1981,1,0.1820362
11,1981,1,0.1787465
12,1981,1,0.1787465
1,1982,1,1.290954e-05
2,1982,1,0.001853824
3,1982,1,0.01858187
4,1982,1,0.0530086
5,1982,1,0.1384639
6,1982,1,0.3047786
7,1982,1,0.2719938
8,1982,1,0.2276404
9,1982,1,0.2084221
10,1982,1,0.2003512
11,1982,1,0.1968245
12,1982,1,0.1968245
1,1983,1,0.0004291187
2,1983,1,0.005108073
3,1983,1,0.02368175
4,1983,1,0.05280064
5,1983,1,0.0950365
6,1983,1,0.209052
7,1983,1,0.2041551
8,1983,1,0.1792488
9,1983,1,0.1677146
10,1983,1,0.1627662
11,1983,1,0.1605508
12,1983,1,0.1605508
1,1984,1,0.001690322
2,1984,1,0.01712568
3,1984,1,0.04499612
4,1984,1,0.05482221
5,1984,1,0.07734142
6,1984,1,0.1602237
7,1984,1,0.1750638
8,1984,1,0.1722092
9,1984,1,0.1716512
10,1984,1,0.1713947
11,1984,1,0.1710463
12,1984,1,0.1710463
1,1985,1,0.001830491
2,1985,1,0.01800482
3,1985,1,0.04825736
4,1985,1,0.06284875
5,1985,1,0.08034027
6,1985,1,0.1402021
7,1985,1,0.1485614
8,1985,1,0.1424209
9,1985,1,0.1395045
10,1985,1,0.1381953
11,1985,1,0.1374946
12,1985,1,0.1374946
1,1986,1,0.001180558
2,1986,1,0.01513488
3,1986,1,0.05051502
4,1986,1,0.07861227
5,1986,1,0.10556
6,1986,1,0.1819943
7,1986,1,0.1825932
8,1986,1,0.1685148
9,1986,1,0.1620912
10,1986,1,0.159347
11,1986,1,0.1580613
12,1986,1,0.1580613
1,1987,1,0.00119031
2,1987,1,0.01256253
3,1987,1,0.03903666
4,1987,1,0.0488449
5,1987,1,0.06287282
6,1987,1,0.1203218
7,1987,1,0.1307318
8,1987,1,0.1241202
9,1987,1,0.1204196
10,1987,1,0.1186404
11,1987,1,0.1177363
12,1987,1,0.1177363
1,1988,1,0.0008996884
2,1988,1,0.01487774
3,1988,1,0.0660275
4,1988,1,0.0842215
5,1988,1,0.106577
6,1988,1,0.2240151
7,1988,1,0.222685
8,1988,1,0.1962406
9,1988,1,0.183636
10,1988,1,0.178211
11,1988,1,0.1758063
12,1988,1,0.1758063
1,1989,1,0.002714826
2,1989,1,0.06849631
3,1989,1,0.233624
4,1989,1,0.240788
5,1989,1,0.1570562
6,1989,1,0.1850963
7,1989,1,0.1643437
8,1989,1,0.1473581
9,1989,1,0.140606
10,1989,1,0.1379158
11,1989,1,0.1367358
12,1989,1,0.1367358
1,1990,1,0.0009203687
2,1990,1,0.02246561
3,1990,1,0.08845115
4,1990,1,0.09368021
5,1990,1,0.09446304
6,1990,1,0.1490831
7,1990,1,0.1362623
8,1990,1,0.1157384
9,1990,1,0.1057188
10,1990,1,0.1012682
11,1990,1,0.09929936
12,1990,1,0.09929936
1,1991,1,0.001839274
2,1991,1,0.01840553
3,1991,1,0.06083911
4,1991,1,0.05974304
5,1991,1,0.0794698
6,1991,1,0.2164782
7,1991,1,0.2205274
8,1991,1,0.1864217
9,1991,1,0.1688681
10,1991,1,0.1611636
11,1991,1,0.1578129
12,1991,1,0.1578129
1,1992,1,0.002039607
2,1992,1,0.02030021
3,1992,1,0.06753
4,1992,1,0.0822682
5,1992,1,0.09633979
6,1992,1,0.1785595
7,1992,1,0.212004
8,1992,1,0.2198756
9,1992,1,0.2245843
10,1992,1,0.2267648
11,1992,1,0.2274329
12,1992,1,0.2274329
1,1993,1,0.001435482
2,1993,1,0.01397516
3,1993,1,0.04557193
4,1993,1,0.07174636
5,1993,1,0.1087628
6,1993,1,0.1578978
7,1993,1,0.165567
8,1993,1,0.1641449
9,1993,1,0.1643272
10,1993,1,0.1645238
11,1993,1,0.1644422
12,1993,1,0.1644422
1,1994,1,0.002539254
2,1994,1,0.02287378
3,1994,1,0.06096773
4,1994,1,0.0676172
5,1994,1,0.1314255
6,1994,1,0.2023674
7,1994,1,0.185065
8,1994,1,0.162245
9,1994,1,0.1516018
10,1994,1,0.1470899
11,1994,1,0.1451425
12,1994,1,0.1451425
1,1995,1,0.002632413
2,1995,1,0.02261641
3,1995,1,0.05172702
4,1995,1,0.03855914
5,1995,1,0.07927703
6,1995,1,0.1746988
7,1995,1,0.1711053
8,1995,1,0.1496101
9,1995,1,0.1397177
10,1995,1,0.1357038
11,1995,1,0.1340126
12,1995,1,0.1340126
1,1996,1,0.002308199
2,1996,1,0.02052069
3,1996,1,0.05229831
4,1996,1,0.05156647
5,1996,1,0.09772945
6,1996,1,0.2160621
7,1996,1,0.2073736
8,1996,1,0.1718426
9,1996,1,0.1542006
10,1996,1,0.1467974
11,1996,1,0.1437413
12,1996,1,0.1437413
1,1997,1,0.001427207
2,1997,1,0.01334561
3,1997,1,0.03905403
4,1997,1,0.04990895
5,1997,1,0.0893406
6,1997,1,0.199698
7,1997,1,0.2113044
8,1997,1,0.1849508
9,1997,1,0.1693133
10,1997,1,0.1619117
11,1997,1,0.1585168
12,1997,1,0.1585168
1,1998,1,0.002853512
2,1998,1,0.02489479
3,1998,1,0.0601888
4,1998,1,0.0602593
5,1998,1,0.1218063
6,1998,1,0.3353847
7,1998,1,0.3361213
8,1998,1,0.2761239
9,1998,1,0.2443694
10,1998,1,0.2302984
11,1998,1,0.224201
12,1998,1,0.224201
1,1999,1,0.001413558
2,1999,1,0.01343742
3,1999,1,0.04036193
4,1999,1,0.05079767
5,1999,1,0.08047398
6,1999,1,0.1728726
7,1999,1,0.1938774
8,1999,1,0.1810224
9,1999,1,0.1729496
10,1999,1,0.1692739
11,1999,1,0.1675876
12,1999,1,0.1675876
1,2000,1,0.002090073
2,2000,1,0.01935601
3,2000,1,0.05429728
4,2000,1,0.05442441
5,2000,1,0.1102234
6,2000,1,0.2167256
7,2000,1,0.2125399
8,2000,1,0.1831142
9,2000,1,0.1676231
10,2000,1,0.1607505
11,2000,1,0.1577278
12,2000,1,0.1577278
1,2001,1,0.001391828
2,2001,1,0.01379826
3,2001,1,0.04542117
4,2001,1,0.06857394
5,2001,1,0.1473011
6,2001,1,0.3917978
7,2001,1,0.3857292
8,2001,1,0.311104
9,2001,1,0.2701233
10,2001,1,0.2513307
11,2001,1,0.24297
12,2001,1,0.24297
1,2002,1,0.0015069
2,2002,1,0.01514888
3,2002,1,0.05196933
4,2002,1,0.09254153
5,2002,1,0.2482588
6,2002,1,0.6417775
7,2002,1,0.6348516
8,2002,1,0.5160442
9,2002,1,0.4521761
10,2002,1,0.4233345
11,2002,1,0.4105388
12,2002,1,0.4105388
1,2003,1,0.001222406
2,2003,1,0.01257638
3,2003,1,0.04498709
4,2003,1,0.08373186
5,2003,1,0.1850521
6,2003,1,0.5640569
7,2003,1,0.6080095
8,2003,1,0.5229146
9,2003,1,0.473638
10,2003,1,0.4508382
11,2003,1,0.4405701
12,2003,1,0.4405701
1,2004,1,0.001148167
2,2004,1,0.01170098
3,2004,1,0.0417666
4,2004,1,0.08179497
5,2004,1,0.1919912
6,2004,1,0.4620546
7,2004,1,0.4987918
8,2004,1,0.4446759
9,2004,1,0.4127582
10,2004,1,0.3978971
11,2004,1,0.3910903
12,2004,1,0.3910903
1,2005,1,0.001243395
2,2005,1,0.01218531
3,2005,1,0.04062812
4,2005,1,0.07867204
5,2005,1,0.2121077
6,2005,1,0.5531608
7,2005,1,0.567762
8,2005,1,0.4852675
9,2005,1,0.4400427
10,2005,1,0.4194866
11,2005,1,0.4102303
12,2005,1,0.4102303
1,2006,1,0.001182664
2,2006,1,0.01082521
3,2006,1,0.03051855
4,2006,1,0.05152993
5,2006,1,0.1729043
6,2006,1,0.4860265
