area,sex,year,age,n
1,1,2017,2,61.6112
1,1,2018,2,33.4831
1,1,2019,2,54.4113
1,1,2020,2,55.935
1,1,2021,2,111.678
1,1,2022,2,68.6995
1,1,2023,2,39.5338
1,1,1952,3,65.4005
1,1,1953,3,65.372
1,1,1954,3,65.3196
1,1,1955,3,65.0611
1,1,1956,3,65.0648
1,1,1957,3,65.1824
1,1,1958,3,65.1431
1,1,1959,3,64.9313
1,1,1960,3,64.9336
1,1,1961,3,65.0163
1,1,1962,3,64.91
1,1,1963,3,64.6045
1,1,1964,3,64.3838
1,1,1965,3,64.5601
1,1,1966,3,63.9579
1,1,1967,3,63.5777
1,1,1968,3,63.9187
1,1,1969,3,63.3142
1,1,1970,3,63.4382
1,1,1971,3,63.6244
1,1,1972,3,62.5112
1,1,1973,3,62.1237
1,1,1974,3,62.0648
1,1,1975,3,61.6338
1,1,1976,3,62.1131
1,1,1977,3,61.6743
1,1,1978,3,62.2486
1,1,1979,3,62.2175
1,1,1980,3,61.3226
1,1,1981,3,60.4098
1,1,1982,3,59.6393
1,1,1983,3,59.1139
1,1,1984,3,59.5357
1,1,1985,3,59.8699
1,1,1986,3,58.7315
1,1,1987,3,64.3541
1,1,1988,3,58.4587
1,1,1989,3,54.713
1,1,1990,3,59.4299
1,1,1991,3,64.8055
1,1,1992,3,70.0989
1,1,1993,3,104.593
1,1,1994,3,59.9333
1,1,1995,3,76.8033
1,1,1996,3,69.8544
1,1,1997,3,75.2888
1,1,1998,3,46.769
1,1,1999,3,33.501
1,1,2000,3,56.3635
1,1,2001,3,66.2806
1,1,2002,3,26.5007
1,1,2003,3,38.6307
1,1,2004,3,69.0661
1,1,2005,3,38.7933
1,1,2006,3,50.8279
1,1,2007,3,60.397
1,1,2008,3,68.1542
1,1,2009,3,88.8599
1,1,2010,3,40.9426
1,1,2011,3,88.196
1,1,2012,3,82.9881
1,1,2013,3,77.1467
1,1,2014,3,55.5608
1,1,2015,3,64.6147
1,1,2016,3,53.6587
1,1,2017,3,20.5492
1,1,2018,3,43.75
1,1,2019,3,23.6941
1,1,2020,3,38.431
1,1,2021,3,40.4209
1,1,2022,3,80.7414
1,1,2023,3,49.343
1,1,1952,4,50.9654
1,1,1953,4,50.9419
1,1,1954,4,50.89
1,1,1955,4,50.6619
1,1,1956,4,50.591
1,1,1957,4,50.6247
1,1,1958,4,50.6482
1,1,1959,4,50.5006
