year,area,age,n
1975,1,5,3029290
1975,1,6,1634640
1975,1,7,1311390
1975,1,8,884769
1975,1,9,482474
1975,1,10,404554
1975,1,11,58547.4
1975,1,12,744853
1976,1,1,24284200
1976,1,2,22372100
1976,1,3,26305400
1976,1,4,11209200
1976,1,5,3689420
1976,1,6,1921700
1976,1,7,983512
1976,1,8,808279
1976,1,9,562130
1976,1,10,311397
1976,1,11,264030
1976,1,12,544365
1977,1,1,25456400
1977,1,2,12538300
1977,1,3,12884600
1977,1,4,15901500
1977,1,5,7037110
1977,1,6,2370580
1977,1,7,1169900
1977,1,8,611764
1977,1,9,519567
1977,1,10,368819
1977,1,11,206857
1977,1,12,551291
1978,1,1,30047600
1978,1,2,13143500
1978,1,3,7217310
1978,1,4,7745430
1978,1,5,9829490
1978,1,6,4438190
1978,1,7,1332420
1978,1,8,649768
1978,1,9,346055
1978,1,10,299148
1978,1,11,215424
1978,1,12,453592
1979,1,1,37962300
1979,1,2,15514100
1979,1,3,7563220
1979,1,4,4323910
1979,1,5,4742760
1979,1,6,6136430
1979,1,7,2552950
1979,1,8,760654
1979,1,9,381091
1979,1,10,207999
1979,1,11,183326
1979,1,12,420658
1980,1,1,54017000
1980,1,2,19600600
1980,1,3,8929180
1980,1,4,4541100
1980,1,5,2663490
1980,1,6,2983220
1980,1,7,3761440
1980,1,8,1582420
1980,1,9,471977
1980,1,10,240185
1980,1,11,133561
1980,1,12,398557
1981,1,1,43947300
1981,1,2,27889900
1981,1,3,11274800
1981,1,4,5329340
1981,1,5,2747690
1981,1,6,1597970
1981,1,7,1708310
1981,1,8,2222630
1981,1,9,966962
1981,1,10,292990
1981,1,11,151823
1981,1,12,346440
1982,1,1,36915200
1982,1,2,22690700
1982,1,3,16043400
1982,1,4,6731150
1982,1,5,3228430
1982,1,6,1622560
1982,1,7,868266
1982,1,8,974576
1982,1,9,1329240
1982,1,10,594430
1982,1,11,182853
1982,1,12,320152
1983,1,1,43433900
1983,1,2,19111200
1983,1,3,13075900
1983,1,4,9624540
1983,1,5,4127240
1983,1,6,1925210
1983,1,7,857911
1983,1,8,483960
1983,1,9,574475
1983,1,10,808330
1983,1,11,368530
1983,1,12,319465
1984,1,1,54153000
1984,1,2,22452800
1984,1,3,10962900
1984,1,4,7797970
1984,1,5,5895740
1984,1,6,2563820
1984,1,7,1111650
1984,1,8,513882
1984,1,9,298823
1984,1,10,362139
1984,1,11,517679
1984,1,12,448715
1985,1,1,22899300
1985,1,2,28000200
1985,1,3,12746300
1985,1,4,6408920
1985,1,5,4773680
1985,1,6,3729360
1985,1,7,1546660
1985,1,8,680933
1985,1,9,321569
1985,1,10,188667
1985,1,11,231106
1985,1,12,626009
1986,1,1,41458400
1986,1,2,11838700
1986,1,3,15876800
1986,1,4,7431670
1986,1,5,3895200
1986,1,6,3006860
1986,1,7,2282440
1986,1,8,960775
1986,1,9,433423
1986,1,10,208298
1986,1,11,123451
1986,1,12,569624
1987,1,1,36064500
1987,1,2,21480000
1987,1,3,6737220
1987,1,4,9240890
1987,1,5,4454920
1987,1,6,2401200
1987,1,7,1769560
1987,1,8,1365530
1987,1,9,591523
1987,1,10,272872
1987,1,11,133220
1987,1,12,452475
1988,1,1,67305900
1988,1,2,18527700
1988,1,3,12191400
1988,1,4,3947770
1988,1,5,5670530
1988,1,6,2848160
1988,1,7,1493290
1988,1,8,1104430
1988,1,9,866773
1988,1,10,382218
1988,1,11,179051
1988,1,12,393351
1989,1,1,66407700
1989,1,2,34881100
1989,1,3,10568400
1989,1,4,6996610
1989,1,5,2355300
1989,1,6,3490240
1989,1,7,1613630
1989,1,8,854577
1989,1,9,656029
1989,1,10,529546
1989,1,11,238336
1989,1,12,366911
1990,1,1,28552200
1990,1,2,34262100
1990,1,3,18816100
1990,1,4,5156630
1990,1,5,3596050
1990,1,6,1380620
1990,1,7,2048070
1990,1,8,977783
1990,1,9,529806
1990,1,10,415386
1990,1,11,341269
1990,1,12,399486
1991,1,1,71316600
1991,1,2,14796900
1991,1,3,19368700
1991,1,4,10585600
1991,1,5,3088130
1991,1,6,2275810
1991,1,7,847778
1991,1,8,1292230
1991,1,9,629672
1991,1,10,347172
1991,1,11,277043
1991,1,12,505087
1992,1,1,44032300
1992,1,2,36772900
1992,1,3,8370800
1992,1,4,11142300
1992,1,5,6469360
1992,1,6,1965960
1992,1,7,1308210
1992,1,8,490292
1992,1,9,778327
1992,1,10,387762
1992,1,11,217198
1992,1,12,499764
1993,1,1,55322600
1993,1,2,22615300
1993,1,3,20745800
1993,1,4,4774760
1993,1,5,6632670
1993,1,6,4011310
1993,1,7,1158940
1993,1,8,757664
1993,1,9,284720
1993,1,10,456298
1993,1,11,229212
1993,1,12,431701
1994,1,1,59543800
1994,1,2,28511700
1994,1,3,12870700
1994,1,4,12123400
1994,1,5,2878870
1994,1,6,4079410
1994,1,7,2421100
1994,1,8,706667
1994,1,9,468344
1994,1,10,178663
1994,1,11,290777
1994,1,12,430466
1995,1,1,77974600
1995,1,2,30579000
1995,1,3,16050700
1995,1,4,7400500
1995,1,5,7323280
1995,1,6,1722030
1995,1,7,2353400
1995,1,8,1443790
1995,1,9,435793
1995,1,10,295594
1995,1,11,114774
1995,1,12,473953
1996,1,1,45728600
1996,1,2,40140100
1996,1,3,17258400
1996,1,4,9328910
1996,1,5,4614770
1996,1,6,4620830
1996,1,7,1026360
1996,1,8,1444900
1996,1,9,912899
1996,1,10,280943
1996,1,11,193432
1996,1,12,394652
1997,1,1,40649000
1997,1,2,23630500
1997,1,3,22728300
1997,1,4,10042800
1997,1,5,5750190
1997,1,6,2865690
1997,1,7,2645080
1997,1,8,607507
1997,1,9,899254
1997,1,10,582620
1997,1,11,182135
1997,1,12,390481
1998,1,1,27281500
1998,1,2,21040200
1998,1,3,13466300
1998,1,4,13383300
1998,1,5,6197660
1998,1,6,3601080
1998,1,7,1663320
1998,1,8,1555570
1998,1,9,371869
1998,1,10,565561
1998,1,11,372009
1998,1,12,373428
1999,1,1,95680200
1999,1,2,14074100
1999,1,3,11840100
1999,1,4,7753030
1999,1,5,8151860
1999,1,6,3755110
1999,1,7,1827630
1999,1,8,856674
1999,1,9,864309
1999,1,10,216401
1999,1,11,337675
1999,1,12,454456
2000,1,1,24274200
2000,1,2,49525200
2000,1,3,8022650
2000,1,4,6960000
2000,1,5,4775510
2000,1,6,5152780
2000,1,7,2245020
2000,1,8,1111630
2000,1,9,530756
2000,1,10,545441
2000,1,11,138781
2000,1,12,516972
2001,1,1,90084000
2001,1,2,12565900
